Carcass,Season,colour_Season,Habitat,colour_hab,Scav,Brown Goshawk,Common brush tailed possum,Crimson rosella,Currawong,Deer,Dingo,Eastern Grey,Echidna,Feral cat,Feral horse,Feral pig,Hare,Kookaburra,Little eagle,Lyrebird,Magpie,Owl,Rabbit,Raven,Red fox,Red-necked wallaby,Swamp wallaby,Unknown,Wombat,Wedge-tailed eagle,Total spp.
KK1,Cool,blue,Closed,green,NP/ND,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5
KK3,Cool,blue,Closed,green,NP/ND,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6
KK6,Cool,blue,Closed,green,NP/ND,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6
KK8,Cool,blue,Closed,green,NP/ND,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,7
KK10,Cool,blue,Closed,green,P,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6
KK12,Cool,blue,Closed,green,P,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,7
KK14,Cool,blue,Closed,green,P,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,7
KK16,Cool,blue,Closed,green,NP/ND,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,7
KK19,Cool,blue,Closed,green,NP/ND,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
KK20,Cool,blue,Closed,green,NP/ND,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
K1,Warm,red,Closed,green,D,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,10
K2,Warm,red,Closed,green,NP/ND,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,8
K3,Warm,red,Closed,green,NP/ND,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,9
K6,Warm,red,Closed,green,D,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7
K8,Warm,red,Closed,green,NP/ND,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,7
K11,Warm,red,Closed,green,D,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,8
K14,Warm,red,Closed,green,D,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,8
K16,Warm,red,Closed,green,NP/ND,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
K19,Warm,red,Closed,green,D,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
K20,Warm,red,Closed,green,NP/ND,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6
KK4,Cool,blue,Open,blue,P,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,11
KK5,Cool,blue,Open,blue,P/D,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,10
KK7,Cool,blue,Open,blue,NP/ND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4
KK9,Cool,blue,Open,blue,NP/ND,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,6
KK11,Cool,blue,Open,blue,P,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,10
KK13,Cool,blue,Open,blue,P,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,9
KK15,Cool,blue,Open,blue,NP/ND,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7
KK17,Cool,blue,Open,blue,P,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7
KK18,Cool,blue,Open,blue,NP/ND,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6
K4,Warm,red,Open,blue,P/D,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8
K5,Warm,red,Open,blue,P,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,12
K7,Warm,red,Open,blue,NP/ND,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,7
K9,Warm,red,Open,blue,NP/ND,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,8
K10,Warm,red,Open,blue,NP/ND,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6
K12,Warm,red,Open,blue,D,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,9
K13,Warm,red,Open,blue,P/D,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,9
K15,Warm,red,Open,blue,D,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7
K17,Warm,red,Open,blue,D,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,9
K18,Warm,red,Open,blue,NP/ND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4
