"","ï..Carcass.Drop","Flood","Season","Habitat","Date","Total","MaxTemp","MinTemp","AveTemp","Rainfall"
"1","1SD","Before Flood","Cool","Closed","21/06/2018",551.5333333,21.93,-2.1,10.62,0
"2","1SD","Before Flood","Cool","Closed","22/06/2018",943.2166667,20.33,3.17,11.58,0
"3","1SD","Before Flood","Cool","Closed","23/06/2018",918.4166667,23.87,5,13.99,0
"4","1SD","Before Flood","Cool","Closed","24/06/2018",931.5666667,24.77,10.03,16.35,0
"5","1SD","Before Flood","Cool","Closed","25/06/2018",823.85,25.83,11.93,18.22,0
"6","1SD","Before Flood","Cool","Closed","26/06/2018",965.3833333,24.2,10.4,16.08,1.6
"7","1SD","Before Flood","Cool","Closed","27/06/2018",947.2166667,20.27,6.27,13.2,0.2
"8","1SD","Before Flood","Cool","Closed","28/06/2018",843.0166667,19.8,5.43,12.08,0
"9","1SD","Before Flood","Cool","Closed","29/06/2018",335.5833333,22.97,9.53,15.04,0
"10","1SD","Before Flood","Cool","Closed","30/06/2018",416.4333333,24.47,11.37,17.35,0
"11","1SD","Before Flood","Cool","Closed","1/07/2018",275.3333333,22.7,8.27,15.61,0.2
"12","1SD","Before Flood","Cool","Closed","2/07/2018",474.0166667,23.9,4.53,14.5,0
"13","1SD","Before Flood","Cool","Closed","3/07/2018",812.7,23.53,1.87,13.08,0
"14","1SD","Before Flood","Cool","Closed","4/07/2018",456.25,26.4,3.8,14.46,0
"15","1SD","Before Flood","Cool","Closed","5/07/2018",305.85,28.43,4.27,15.07,0
"16","1SD","Before Flood","Cool","Closed","6/07/2018",263.5666667,30,6.93,17.71,0
"17","1SD","Before Flood","Cool","Closed","7/07/2018",120.35,23.6,7.1,15.6,0
"18","1SD","Before Flood","Cool","Closed","8/07/2018",239.9,20.8,5.17,13.15,0
"19","1SD","Before Flood","Cool","Closed","9/07/2018",149.9833333,20.2,-1,10.83,0
"20","1SD","Before Flood","Cool","Closed","10/07/2018",88.08333333,21,-1.2,10.63,0
"21","1SD","Before Flood","Cool","Closed","11/07/2018",100.5166667,21.57,-1.53,10.82,0
"22","1SD","Before Flood","Cool","Closed","12/07/2018",82.88333333,21.43,-2.57,9.25,0
"23","1SD","Before Flood","Cool","Closed","13/07/2018",155.3666667,20.87,-5.2,7.45,0
"24","1SD","Before Flood","Cool","Closed","14/07/2018",99.91666667,20.57,-3.9,7.17,0
"25","1SD","Before Flood","Cool","Closed","15/07/2018",59.38333333,21.17,-3.83,7.65,0
"26","1SD","Before Flood","Cool","Closed","16/07/2018",124.5833333,22.9,0.8,10.2,0
"27","1SD","Before Flood","Cool","Closed","17/07/2018",124.6666667,27.97,0.43,14.12,0
"28","1SD","Before Flood","Cool","Closed","18/07/2018",94.03333333,28.47,0.77,14.31,0
"29","1SD","Before Flood","Cool","Closed","19/07/2018",90.4,27.77,1.97,13.91,0
"30","1SD","Before Flood","Cool","Closed","20/07/2018",85.9,29.87,7.23,18.98,0
"31","1SD","Before Flood","Cool","Closed","21/07/2018",8.95,20.27,-2.9,8.36,0
"32","1SD","Before Flood","Cool","Open","20/06/2018",24.63333333,20.63,-2.27,8.54,0
"33","1SD","Before Flood","Cool","Open","21/06/2018",667.6333333,21.93,-2.1,10.62,0
"34","1SD","Before Flood","Cool","Open","22/06/2018",931.35,20.33,3.17,11.58,0
"35","1SD","Before Flood","Cool","Open","23/06/2018",604.65,23.87,5,13.99,0
"36","1SD","Before Flood","Cool","Open","24/06/2018",839.6666667,24.77,10.03,16.35,0
"37","1SD","Before Flood","Cool","Open","25/06/2018",849,25.83,11.93,18.22,0
"38","1SD","Before Flood","Cool","Open","26/06/2018",859.95,24.2,10.4,16.08,1.6
"39","1SD","Before Flood","Cool","Open","27/06/2018",859.2666667,20.27,6.27,13.2,0.2
"40","1SD","Before Flood","Cool","Open","28/06/2018",1256.3,19.8,5.43,12.08,0
"41","1SD","Before Flood","Cool","Open","29/06/2018",996.9833333,22.97,9.53,15.04,0
"42","1SD","Before Flood","Cool","Open","30/06/2018",665.55,24.47,11.37,17.35,0
"43","1SD","Before Flood","Cool","Open","1/07/2018",731.9333333,22.7,8.27,15.61,0.2
"44","1SD","Before Flood","Cool","Open","2/07/2018",588.9,23.9,4.53,14.5,0
"45","1SD","Before Flood","Cool","Open","3/07/2018",390.15,23.53,1.87,13.08,0
"46","1SD","Before Flood","Cool","Open","4/07/2018",461.2166667,26.4,3.8,14.46,0
"47","1SD","Before Flood","Cool","Open","5/07/2018",258.6166667,28.43,4.27,15.07,0
"48","1SD","Before Flood","Cool","Open","6/07/2018",112.45,30,6.93,17.71,0
"49","1SD","Before Flood","Cool","Open","7/07/2018",312.0166667,23.6,7.1,15.6,0
"50","1SD","Before Flood","Cool","Open","8/07/2018",328.4666667,20.8,5.17,13.15,0
"51","1SD","Before Flood","Cool","Open","9/07/2018",179.5166667,20.2,-1,10.83,0
"52","1SD","Before Flood","Cool","Open","10/07/2018",168.5833333,21,-1.2,10.63,0
"53","1SD","Before Flood","Cool","Open","11/07/2018",105.8666667,21.57,-1.53,10.82,0
"54","1SD","Before Flood","Cool","Open","12/07/2018",240.7833333,21.43,-2.57,9.25,0
"55","1SD","Before Flood","Cool","Open","13/07/2018",366.8666667,20.87,-5.2,7.45,0
"56","1SD","Before Flood","Cool","Open","14/07/2018",425.5333333,20.57,-3.9,7.17,0
"57","1SD","Before Flood","Cool","Open","15/07/2018",294.25,21.17,-3.83,7.65,0
"58","1SD","Before Flood","Cool","Open","16/07/2018",238.3,22.9,0.8,10.2,0
"59","1SD","Before Flood","Cool","Open","17/07/2018",110.9,27.97,0.43,14.12,0
"60","1SD","Before Flood","Cool","Open","18/07/2018",191.6666667,28.47,0.77,14.31,0
"61","1SD","Before Flood","Cool","Open","19/07/2018",81.91666667,27.77,1.97,13.91,0
"62","1SD","Before Flood","Cool","Open","20/07/2018",160.15,29.87,7.23,18.98,0
"63","1SD","Before Flood","Cool","Open","21/07/2018",183,20.27,-2.9,8.36,0
"64","2SD","Before Flood","Warm","Closed","12/10/2018",0.25,30.7,14.47,24.33,0
"65","2SD","Before Flood","Warm","Closed","13/10/2018",29.21666667,33.57,15.6,26.04,0
"66","2SD","Before Flood","Warm","Closed","14/10/2018",63.2,37,18.73,29.1,0
"67","2SD","Before Flood","Warm","Closed","15/10/2018",16.15,42.2,27.13,34.19,0
"68","2SD","Before Flood","Warm","Closed","16/10/2018",20.13333333,41.17,22.27,31.24,1.6
"69","2SD","Before Flood","Warm","Closed","17/10/2018",57.78333333,33.23,13.7,25.31,0
"70","2SD","Before Flood","Warm","Closed","18/10/2018",27.75,32.4,9.47,22.8,0
"71","2SD","Before Flood","Warm","Closed","19/10/2018",23.46666667,35.83,11.03,24.09,0
"72","2SD","Before Flood","Warm","Closed","20/10/2018",130.5666667,40.6,23.43,31.58,0
"73","2SD","Before Flood","Warm","Closed","21/10/2018",86.11666667,32.43,11.77,23.44,0
"74","2SD","Before Flood","Warm","Closed","22/10/2018",60.66666667,33.6,9.2,21.81,0
"75","2SD","Before Flood","Warm","Closed","23/10/2018",118.6833333,37.9,11.07,25.08,0
"76","2SD","Before Flood","Warm","Closed","24/10/2018",78.08333333,41.1,12.47,28.53,0
"77","2SD","Before Flood","Warm","Closed","25/10/2018",14.31666667,44,17.9,31.74,0
"78","2SD","Before Flood","Warm","Closed","26/10/2018",31.23333333,44.3,23.63,35.24,0
"79","2SD","Before Flood","Warm","Closed","28/10/2018",7.25,44.83,23.2,33.81,0
"80","2SD","Before Flood","Warm","Closed","29/10/2018",35,40.07,19.07,30.33,0
"81","2SD","Before Flood","Warm","Closed","30/10/2018",17.86666667,38.53,21.83,31.41,0
"82","2SD","Before Flood","Warm","Closed","31/10/2018",0.133333333,41.13,23.4,33.01,0
"83","2SD","Before Flood","Warm","Closed","4/11/2018",0.133333333,44.37,25.63,36.37,0
"84","2SD","Before Flood","Warm","Closed","7/11/2018",0.133333333,41.43,23.57,32.71,0
"85","2SD","Before Flood","Warm","Closed","8/11/2018",23.33333333,26.03,13.37,17.48,5.6
"86","2SD","Before Flood","Warm","Closed","9/11/2018",7.883333333,26.3,11.9,20.27,0
"87","2SD","Before Flood","Warm","Open","10/10/2018",20.83333333,40.17,23.2,31.72,0
"88","2SD","Before Flood","Warm","Open","11/10/2018",211.2166667,34.4,15.07,26.44,0
"89","2SD","Before Flood","Warm","Open","12/10/2018",207.2,30.7,14.47,24.33,0
"90","2SD","Before Flood","Warm","Open","13/10/2018",218.8833333,33.57,15.6,26.04,0
"91","2SD","Before Flood","Warm","Open","14/10/2018",123.2833333,37,18.73,29.1,0
"92","2SD","Before Flood","Warm","Open","15/10/2018",26.41666667,42.2,27.13,34.19,0
"93","2SD","Before Flood","Warm","Open","16/10/2018",59.05,41.17,22.27,31.24,1.6
"94","2SD","Before Flood","Warm","Open","17/10/2018",233.1833333,33.23,13.7,25.31,0
"95","2SD","Before Flood","Warm","Open","18/10/2018",127.8666667,32.4,9.47,22.8,0
"96","2SD","Before Flood","Warm","Open","19/10/2018",206.6833333,35.83,11.03,24.09,0
"97","2SD","Before Flood","Warm","Open","20/10/2018",32.28333333,40.6,23.43,31.58,0
"98","2SD","Before Flood","Warm","Open","21/10/2018",66.03333333,32.43,11.77,23.44,0
"99","2SD","Before Flood","Warm","Open","22/10/2018",2.083333333,33.6,9.2,21.81,0
"100","2SD","Before Flood","Warm","Open","23/10/2018",41.66666667,37.9,11.07,25.08,0
"101","2SD","Before Flood","Warm","Open","24/10/2018",16.6,41.1,12.47,28.53,0
"102","2SD","Before Flood","Warm","Open","25/10/2018",0.2,44,17.9,31.74,0
"103","2SD","Before Flood","Warm","Open","26/10/2018",0.1,44.3,23.63,35.24,0
"104","2SD","Before Flood","Warm","Open","27/10/2018",1.233333333,45.3,24.97,36.68,0
"105","2SD","Before Flood","Warm","Open","28/10/2018",1.233333333,44.83,23.2,33.81,0
"106","2SD","Before Flood","Warm","Open","29/10/2018",11.45,40.07,19.07,30.33,0
"107","2SD","Before Flood","Warm","Open","30/10/2018",42.71666667,38.53,21.83,31.41,0
"108","2SD","Before Flood","Warm","Open","31/10/2018",33.08333333,41.13,23.4,33.01,0
"109","2SD","Before Flood","Warm","Open","1/11/2018",38.35,42.27,21.87,33.83,0
"110","2SD","Before Flood","Warm","Open","2/11/2018",8.166666667,44.2,28.3,36.25,0
"111","2SD","Before Flood","Warm","Open","3/11/2018",14.85,43.87,29.3,36.61,0
"112","2SD","Before Flood","Warm","Open","4/11/2018",19.21666667,44.37,25.63,36.37,0
"113","2SD","Before Flood","Warm","Open","5/11/2018",0.166666667,44.23,27.03,36.68,0
"114","2SD","Before Flood","Warm","Open","6/11/2018",5.983333333,43.23,27.77,34.2,0
"115","2SD","Before Flood","Warm","Open","8/11/2018",6.55,26.03,13.37,17.48,5.6
"116","2SD","Before Flood","Warm","Open","9/11/2018",81.6,26.3,11.9,20.27,0
"117","3SD","After Flood","Cool","Closed","13/06/2019",2.916666667,31.6,18.5,23.84,0
"118","3SD","After Flood","Cool","Closed","14/06/2019",114.7,25.67,14.23,20.15,0
"119","3SD","After Flood","Cool","Closed","15/06/2019",94.28333333,24.7,12.5,18.28,0
"120","3SD","After Flood","Cool","Closed","16/06/2019",282.8833333,23.6,11.83,17.03,7.6
"121","3SD","After Flood","Cool","Closed","17/06/2019",250.3166667,21.27,4.2,12.33,0.2
"122","3SD","After Flood","Cool","Closed","18/06/2019",36.55,20.1,3.47,11.34,0
"123","3SD","After Flood","Cool","Closed","19/06/2019",122.3166667,20.97,5.13,12.46,0
"124","3SD","After Flood","Cool","Closed","20/06/2019",159.2833333,20.2,3.27,12.28,0
"125","3SD","After Flood","Cool","Closed","21/06/2019",133.5666667,18.4,0.73,9.92,0
"126","3SD","After Flood","Cool","Closed","22/06/2019",42.2,16.73,-1.37,8.19,0
"127","3SD","After Flood","Cool","Closed","23/06/2019",264.0333333,17.43,-0.63,8.28,0
"128","3SD","After Flood","Cool","Closed","24/06/2019",385.3666667,18.17,NA,8.87,0
"129","3SD","After Flood","Cool","Closed","25/06/2019",610.5333333,18.57,-0.2,8.3,0
"130","3SD","After Flood","Cool","Closed","26/06/2019",358.7833333,22,0.83,10.94,0
"131","3SD","After Flood","Cool","Closed","27/06/2019",241.3833333,22.5,3.2,11.57,0
"132","3SD","After Flood","Cool","Closed","28/06/2019",142.6333333,24.57,5.43,14.55,0
"133","3SD","After Flood","Cool","Closed","29/06/2019",218.2833333,27.63,8.77,16.8,0
"134","3SD","After Flood","Cool","Closed","30/06/2019",142.1,27.37,2.03,15.99,0
"135","3SD","After Flood","Cool","Closed","1/07/2019",130.2666667,20.23,0.27,10.08,0
"136","3SD","After Flood","Cool","Closed","2/07/2019",77.28333333,25,1.5,10.88,0
"137","3SD","After Flood","Cool","Closed","3/07/2019",115.2333333,24.27,0.73,11.56,0
"138","3SD","After Flood","Cool","Closed","4/07/2019",15.38333333,21.67,4.4,11.95,0
"139","3SD","After Flood","Cool","Closed","5/07/2019",104.5,25.53,5.23,14.77,0
"140","3SD","After Flood","Cool","Closed","6/07/2019",32.73333333,25.97,6.83,15.05,0
"141","3SD","After Flood","Cool","Closed","7/07/2019",59.11666667,25.63,9.47,18.63,0
"142","3SD","After Flood","Cool","Closed","8/07/2019",93.81666667,25.8,10.7,17.92,0
"143","3SD","After Flood","Cool","Closed","9/07/2019",77.7,25.63,8.17,16.82,0
"144","3SD","After Flood","Cool","Closed","10/07/2019",151.15,25.1,0.97,13.74,0
"145","3SD","After Flood","Cool","Closed","11/07/2019",34,25.67,4.8,13.72,0
"146","3SD","After Flood","Cool","Closed","12/07/2019",4.316666667,26.67,2.83,13.87,0
"147","3SD","After Flood","Cool","Closed","13/07/2019",9.05,24.03,3.47,13.08,0
"148","3SD","After Flood","Cool","Open","13/06/2019",321.7,31.6,18.5,23.84,0
"149","3SD","After Flood","Cool","Open","14/06/2019",705.0333333,25.67,14.23,20.15,0
"150","3SD","After Flood","Cool","Open","15/06/2019",1040.283333,24.7,12.5,18.28,0
"151","3SD","After Flood","Cool","Open","16/06/2019",726.4833333,23.6,11.83,17.03,7.6
"152","3SD","After Flood","Cool","Open","17/06/2019",416.9,21.27,4.2,12.33,0.2
"153","3SD","After Flood","Cool","Open","18/06/2019",138.8333333,20.1,3.47,11.34,0
"154","3SD","After Flood","Cool","Open","19/06/2019",118.6666667,20.97,5.13,12.46,0
"155","3SD","After Flood","Cool","Open","20/06/2019",178.5666667,20.2,3.27,12.28,0
"156","3SD","After Flood","Cool","Open","21/06/2019",139.15,18.4,0.73,9.92,0
"157","3SD","After Flood","Cool","Open","22/06/2019",128.5833333,16.73,-1.37,8.19,0
"158","3SD","After Flood","Cool","Open","23/06/2019",276.7333333,17.43,-0.63,8.28,0
"159","3SD","After Flood","Cool","Open","24/06/2019",288.5166667,18.17,NA,8.87,0
"160","3SD","After Flood","Cool","Open","25/06/2019",211.6333333,18.57,-0.2,8.3,0
"161","3SD","After Flood","Cool","Open","26/06/2019",270.4166667,22,0.83,10.94,0
"162","3SD","After Flood","Cool","Open","27/06/2019",92.38333333,22.5,3.2,11.57,0
"163","3SD","After Flood","Cool","Open","28/06/2019",135.3833333,24.57,5.43,14.55,0
"164","3SD","After Flood","Cool","Open","29/06/2019",129.05,27.63,8.77,16.8,0
"165","3SD","After Flood","Cool","Open","30/06/2019",281.8666667,27.37,2.03,15.99,0
"166","3SD","After Flood","Cool","Open","1/07/2019",337.3166667,20.23,0.27,10.08,0
"167","3SD","After Flood","Cool","Open","2/07/2019",269.05,25,1.5,10.88,0
"168","3SD","After Flood","Cool","Open","3/07/2019",403.9833333,24.27,0.73,11.56,0
"169","3SD","After Flood","Cool","Open","4/07/2019",253.7333333,21.67,4.4,11.95,0
"170","3SD","After Flood","Cool","Open","5/07/2019",197.2833333,25.53,5.23,14.77,0
"171","3SD","After Flood","Cool","Open","6/07/2019",133.85,25.97,6.83,15.05,0
"172","3SD","After Flood","Cool","Open","7/07/2019",105.4666667,25.63,9.47,18.63,0
"173","3SD","After Flood","Cool","Open","8/07/2019",111.5333333,25.8,10.7,17.92,0
"174","3SD","After Flood","Cool","Open","9/07/2019",35.33333333,25.63,8.17,16.82,0
"175","3SD","After Flood","Cool","Open","10/07/2019",11.61666667,25.1,0.97,13.74,0
"176","3SD","After Flood","Cool","Open","11/07/2019",50.7,25.67,4.8,13.72,0
"177","3SD","After Flood","Cool","Open","12/07/2019",54.7,26.67,2.83,13.87,0
"178","3SD","After Flood","Cool","Open","13/07/2019",48.58333333,24.03,3.47,13.08,0
"179","4SD","After Flood","Warm","Closed","24/09/2019",39.91666667,27.7,16.03,21.43,0
"180","4SD","After Flood","Warm","Closed","25/09/2019",681.8666667,26.93,11.4,17.01,2.2
"181","4SD","After Flood","Warm","Closed","26/09/2019",1921.116667,25.37,8.5,16.66,0
"182","4SD","After Flood","Warm","Closed","27/09/2019",1616,32.17,10.4,22.57,0
"183","4SD","After Flood","Warm","Closed","28/09/2019",1950.266667,33.3,7.83,22.22,0
"184","4SD","After Flood","Warm","Closed","29/09/2019",1031.683333,34.43,8.13,21.62,0
"185","4SD","After Flood","Warm","Closed","30/09/2019",981.5833333,36.53,11.13,24.51,0
"186","4SD","After Flood","Warm","Closed","1/10/2019",611.05,37.4,12.97,26.1,0
"187","4SD","After Flood","Warm","Closed","2/10/2019",717.05,36.6,10.27,26.51,0
"188","4SD","After Flood","Warm","Closed","3/10/2019",525.9666667,36.4,9.77,23.49,0
"189","4SD","After Flood","Warm","Closed","4/10/2019",695.2666667,37.2,11.53,25.26,0
"190","4SD","After Flood","Warm","Closed","5/10/2019",472.2333333,36.87,12.4,26.94,0
"191","4SD","After Flood","Warm","Closed","6/10/2019",642.5666667,37.27,14.17,25.89,0
"192","4SD","After Flood","Warm","Closed","7/10/2019",390.2666667,38.37,12.47,25.79,0
"193","4SD","After Flood","Warm","Closed","8/10/2019",671.3,40.07,20.57,29.9,0
"194","4SD","After Flood","Warm","Closed","9/10/2019",1001.8,31.9,14.27,24,0
"195","4SD","After Flood","Warm","Closed","10/10/2019",636.45,30.4,5.1,19.27,0
"196","4SD","After Flood","Warm","Closed","11/10/2019",315.8833333,31.13,5.67,20.56,0
"197","4SD","After Flood","Warm","Closed","12/10/2019",26.65,33.4,10.67,21.8,0
"198","4SD","After Flood","Warm","Closed","13/10/2019",19.25,38.47,20.43,29.16,0
"199","4SD","After Flood","Warm","Closed","14/10/2019",28.95,43.27,23.47,33.26,0
"200","4SD","After Flood","Warm","Closed","15/10/2019",20.1,43.1,22.2,32.93,0
"201","4SD","After Flood","Warm","Closed","16/10/2019",14.38333333,44.53,28.77,35.87,0
"202","4SD","After Flood","Warm","Closed","17/10/2019",14.73333333,43.5,22.67,32.98,0
"203","4SD","After Flood","Warm","Closed","18/10/2019",59.93333333,31.93,16.13,25.29,0
"204","4SD","After Flood","Warm","Closed","19/10/2019",115.5166667,35,11.77,24.64,0
"205","4SD","After Flood","Warm","Closed","20/10/2019",5.75,37.53,16.57,27.18,0
"206","4SD","After Flood","Warm","Closed","21/10/2019",23.28333333,35.13,13.33,24.98,0
"207","4SD","After Flood","Warm","Closed","22/10/2019",8.9,33.5,8.37,21.76,0
"208","4SD","After Flood","Warm","Open","24/09/2019",44.83333333,27.7,16.03,21.43,0
"209","4SD","After Flood","Warm","Open","25/09/2019",1021.5,26.93,11.4,17.01,2.2
"210","4SD","After Flood","Warm","Open","26/09/2019",1680.033333,25.37,8.5,16.66,0
"211","4SD","After Flood","Warm","Open","27/09/2019",1168.083333,32.17,10.4,22.57,0
"212","4SD","After Flood","Warm","Open","28/09/2019",898.05,33.3,7.83,22.22,0
"213","4SD","After Flood","Warm","Open","29/09/2019",483.3166667,34.43,8.13,21.62,0
"214","4SD","After Flood","Warm","Open","30/09/2019",319.5166667,36.53,11.13,24.51,0
"215","4SD","After Flood","Warm","Open","1/10/2019",266.95,37.4,12.97,26.1,0
"216","4SD","After Flood","Warm","Open","2/10/2019",434.9666667,36.6,10.27,26.51,0
"217","4SD","After Flood","Warm","Open","3/10/2019",448.8166667,36.4,9.77,23.49,0
"218","4SD","After Flood","Warm","Open","4/10/2019",388.9166667,37.2,11.53,25.26,0
"219","4SD","After Flood","Warm","Open","5/10/2019",156.0333333,36.87,12.4,26.94,0
"220","4SD","After Flood","Warm","Open","6/10/2019",253.2333333,37.27,14.17,25.89,0
"221","4SD","After Flood","Warm","Open","7/10/2019",142.4833333,38.37,12.47,25.79,0
"222","4SD","After Flood","Warm","Open","8/10/2019",284.35,40.07,20.57,29.9,0
"223","4SD","After Flood","Warm","Open","9/10/2019",347.0666667,31.9,14.27,24,0
"224","4SD","After Flood","Warm","Open","10/10/2019",163.9833333,30.4,5.1,19.27,0
"225","4SD","After Flood","Warm","Open","11/10/2019",103.7833333,31.13,5.67,20.56,0
"226","4SD","After Flood","Warm","Open","12/10/2019",40.98333333,33.4,10.67,21.8,0
"227","4SD","After Flood","Warm","Open","13/10/2019",28.25,38.47,20.43,29.16,0
"228","4SD","After Flood","Warm","Open","14/10/2019",0.1,43.27,23.47,33.26,0
"229","4SD","After Flood","Warm","Open","15/10/2019",51.36666667,43.1,22.2,32.93,0
"230","4SD","After Flood","Warm","Open","16/10/2019",15.05,44.53,28.77,35.87,0
"231","4SD","After Flood","Warm","Open","17/10/2019",7.95,43.5,22.67,32.98,0
"232","4SD","After Flood","Warm","Open","18/10/2019",67.7,31.93,16.13,25.29,0
"233","4SD","After Flood","Warm","Open","19/10/2019",19.13333333,35,11.77,24.64,0
"234","4SD","After Flood","Warm","Open","20/10/2019",6.6,37.53,16.57,27.18,0
"235","4SD","After Flood","Warm","Open","21/10/2019",3.866666667,35.13,13.33,24.98,0
"236","4SD","After Flood","Warm","Open","22/10/2019",2.1,33.5,8.37,21.76,0
